0001	011	01	00	0001	01	1	01	0	0
0011	001	00	00	1111	00	0	00	1	0
0010	010	00	00	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
									
0100	000	00	10	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0100	000	01	00	1111	01	0	00	1	0
0000	000	00	00	1111	00	0	00	0	1
0100	011	01	00	0001	01	1	01	1	0
0011	100	00	00	1111	00	0	00	1	0
0000	000	00	00	1111	00	0	00	0	1
0100	011	00	00	0011	00	1	00	0	0
0011	100	01	00	1111	01	0	00	1	0
0000	000	00	00	1111	00	0	00	0	1
0001	011	01	00	0001	01	1	01	0	0
0011	001	00	00	1111	00	0	00	1	0
0010	000	00	01	1111	00	0	00	0	0
0100	011	00	00	0001	00	0	00	0	0
0011	000	01	00	1111	01	0	00	1	0
0000	000	00	00	1111	00	0	00	0	1
0010	000	01	00	1111	01	0	00	1	0
0010	000	00	10	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
									
0101	000	00	11	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0101	000	01	00	1111	01	0	00	1	0
0000	000	00	00	1111	00	0	00	0	1
0101	011	01	00	0001	01	1	01	0	0
0011	101	00	00	1111	00	0	00	1	0
0000	000	00	00	1111	00	0	00	0	1
0101	011	00	00	0011	00	1	00	0	0
0011	101	01	00	1111	01	0	00	1	0
0000	000	00	00	1111	00	0	00	0	1
0001	011	01	00	0001	01	1	01	0	0
0011	001	00	00	1111	00	0	00	1	0
0010	000	00	01	1111	00	0	00	0	0
0101	011	00	00	0001	00	0	00	0	0
0011	000	01	00	1111	01	0	00	1	0
0000	000	00	00	1111	00	0	00	0	1
0010	000	01	00	1111	01	0	00	1	0
0010	000	00	11	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
									
0110	011	00	00	0001	00	1	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0110	000	00	01	1111	00	0	00	0	0
0111	011	00	00	0001	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0110	000	00	01	1111	00	0	00	0	0
0111	011	00	00	0001	00	0	10	0	0
0000	000	00	00	1111	00	0	00	0	1
0111	000	00	01	1111	00	0	00	0	0
0110	011	00	00	0010	00	0	01	0	0
0000	000	00	00	1111	00	0	00	0	1
0111	000	00	01	1111	00	0	00	0	0
0110	011	00	00	0010	00	0	11	0	0
0000	000	00	00	1111	00	0	00	0	1
0110	000	00	01	1111	00	0	00	0	0
0111	011	00	00	0100	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0110	000	00	01	1111	00	0	00	0	0
0111	011	00	00	0101	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0110	000	00	01	1111	00	0	00	0	0
0111	011	00	00	0110	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0111	000	00	01	1111	00	0	00	0	0
0110	011	00	00	0010	00	0	01	0	0
0000	000	00	00	1111	00	0	00	0	1
									
0111	011	00	00	0001	00	1	01	0	0
0000	000	00	00	1111	00	0	00	0	1
0111	011	00	00	0011	00	1	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0111	011	00	00	0100	00	1	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0111	011	00	00	0111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0111	011	00	00	1000	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0111	011	00	00	1001	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0111	011	00	00	1011	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0111	011	00	00	1100	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0111	011	00	00	1101	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
									
1000	000	00	10	1111	00	0	00	0	0
0001	000	00	11	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0011	001	00	00	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
									
0000	000	00	00	0000	00	0	00	0	0
0000	000	00	00	0000	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
									
0001	011	01	00	0001	01	1	01	0	0
0011	001	00	00	1111	00	0	00	1	0
0010	000	00	10	1111	00	0	00	1	0
0001	000	10	00	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0110	001	00	00	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
1001	000	10	00	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0001	000	10	00	1111	00	0	00	0	0
1010	011	00	00	0011	00	1	00	0	0
0011	111	01	00	1111	10	0	00	1	0
1011	001	00	00	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
1010	011	01	00	0001	01	1	01	0	0
0011	111	00	00	1111	00	0	00	1	0
0010	001	00	00	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
1010	011	01	00	0001	01	1	01	0	0
0011	111	00	00	1111	00	0	00	1	0
0010	110	00	00	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
1010	011	00	00	0011	00	1	00	0	0
0011	111	01	00	1111	10	0	00	1	0
0000	000	00	00	1111	00	0	00	0	1
									
0011	101	00	00	1111	00	0	00	0	0
0000	000	00	00	1111	00	0	00	0	1
0011	000	10	00	1111	10	0	00	1	0
0000	000	00	00	1111	00	0	00	0	1
